id,name,name_es,size_category,weight_kg_min,weight_kg_max,height_cm_min,height_cm_max,life_expectancy_min,life_expectancy_max,energy_level,exercise_needs_daily_min,exercise_needs_daily_max,trainability,intelligence,good_with_children,good_with_dogs,good_with_cats,shedding,grooming_needs,barking_level,drooling,coat_type,coat_length,hypoallergenic,apartment_friendly,good_for_first_time,cold_tolerance,heat_tolerance,prey_drive,wanderlust,protectiveness,health_issues,origin_country,breed_group,temperament,special_needs,common_health_problems,description_es
chihuahua,Chihuahua,Chihuahua,mini,1.5,3,15,23,14,16,3,20,30,3,4,2,3,3,2,2,5,1,short,short,False,5,3,1,4,3,2,3,3,México,Toy,"[alerta, valiente, devoto, vivaz]",Protección del frío,"[luxación de rótula, problemas dentales]",El perro más pequeño del mundo
yorkshire_terrier,Yorkshire Terrier,Yorkshire Terrier,mini,2,3.5,18,23,13,16,4,30,45,3,4,3,3,3,1,5,4,1,long,long,True,5,3,2,3,4,2,4,3,Inglaterra,Toy,"[afectuoso, vivaz, valiente]",Grooming diario,"[luxación de rótula, problemas dentales]",Pequeño pero con gran personalidad
maltes,Maltese,Maltés,mini,2,4,20,25,12,15,3,20,30,4,4,3,4,4,1,5,3,1,long,long,True,5,4,2,3,2,2,3,2,Malta,Toy,"[dulce, juguetón, cariñoso]",Grooming diario,"[luxación de rótula, problemas dentales]","Elegante, dulce y cariñoso"
pomeranian,Pomeranian,Pomerania,mini,1.5,3.5,15,20,12,16,4,30,45,3,4,3,3,3,4,4,5,1,double,long,False,5,3,4,2,3,2,4,3,Alemania,Toy,"[vivaz, inteligente, extrovertido]",Cepillado frecuente,"[luxación de rótula, problemas dentales]",Pequeña bola de pelo con energía
french_bulldog,French Bulldog,Bulldog Francés,small,8,13,28,33,10,12,2,20,30,3,3,4,3,4,3,2,2,3,short,short,False,5,4,2,1,2,2,3,5,Francia,Non-Sporting,"[afectuoso, fácil, juguetón]",Evitar calor extremo,"[síndrome braquicefálico, problemas de piel]",Compañero afectuoso y tranquilo
pug,Pug,Carlino/Pug,small,6,8,25,33,12,15,2,20,30,3,3,4,4,4,4,2,2,2,short,short,False,5,4,2,1,2,2,2,5,China,Toy,"[encantador, travieso, cariñoso]",Control de peso,"[síndrome braquicefálico, problemas oculares]",Encantador y travieso
beagle,Beagle,Beagle,small,9,11,33,41,12,15,4,60,90,3,4,5,5,3,3,2,5,2,short,short,False,3,4,4,3,5,5,2,2,Inglaterra,Hound,"[amigable, curioso, alegre]",Ejercicio diario,"[obesidad, epilepsia]",Perro sabueso amigable y curioso
cocker_spaniel,Cocker Spaniel,Cocker Spaniel,medium,12,15,36,43,12,15,4,45,60,4,4,4,4,3,3,4,3,2,long,medium,False,3,4,4,3,4,3,3,3,Inglaterra,Sporting,"[dulce, alegre, afectuoso]",Grooming regular,"[infecciones de oído, problemas oculares]",Dulce y alegre
boston_terrier,Boston Terrier,Boston Terrier,small,5,11,38,43,11,13,3,30,45,4,4,4,4,4,2,2,2,2,short,short,False,5,4,2,1,2,2,3,4,Estados Unidos,Non-Sporting,"[amigable, brillante, divertido]",Evitar temperaturas extremas,"[problemas respiratorios, luxación de rótula]",El 'caballero americano'
shih_tzu,Shih Tzu,Shih Tzu,small,4,7,20,28,10,16,2,20,30,3,3,4,4,4,2,5,3,1,long,long,True,5,4,3,2,2,2,3,3,China,Toy,"[afectuoso, juguetón, salida]",Grooming diario,"[problemas respiratorios, problemas oculares]",Perro de compañía chino
